,time,metric_name,metric_value,date,year
319312,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-16,2018
319313,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-16,2018
319314,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-16,2018
319315,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-16,2018
319316,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-16,2018
319317,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-16,2018
319318,2018-01-16 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-16,2018
319319,2018-01-16 00:00:00-05:00,google.meet:total_meeting_minutes,0,2018-01-16,2018
319797,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-17,2018
319798,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-17,2018
319799,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-17,2018
319800,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-17,2018
319801,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-17,2018
319802,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-17,2018
319803,2018-01-17 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-17,2018
319804,2018-01-17 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-17,2018
319805,2018-01-17 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-17,2018
319806,2018-01-17 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-17,2018
319807,2018-01-17 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-17,2018
319808,2018-01-17 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-17,2018
319809,2018-01-17 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-17,2018
319810,2018-01-17 00:00:00-05:00,google.meet:num_calls,0,2018-01-17,2018
319811,2018-01-17 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-17,2018
319812,2018-01-17 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-17,2018
319813,2018-01-17 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-17,2018
319814,2018-01-17 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-17,2018
319815,2018-01-17 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-17,2018
319816,2018-01-17 00:00:00-05:00,google.meet:num_calls_chromebox,0,2018-01-17,2018
319817,2018-01-17 00:00:00-05:00,google.meet:num_calls_ios,0,2018-01-17,2018
319818,2018-01-17 00:00:00-05:00,google.meet:num_calls_jamboard,0,2018-01-17,2018
319819,2018-01-17 00:00:00-05:00,google.meet:num_calls_unknown_client,0,2018-01-17,2018
319820,2018-01-17 00:00:00-05:00,google.meet:num_calls_web,0,2018-01-17,2018
319821,2018-01-17 00:00:00-05:00,google.meet:num_meetings,0,2018-01-17,2018
319822,2018-01-17 00:00:00-05:00,google.meet:num_meetings_android,0,2018-01-17,2018
319823,2018-01-17 00:00:00-05:00,google.meet:num_meetings_chromebase,0,2018-01-17,2018
319824,2018-01-17 00:00:00-05:00,google.meet:num_meetings_chromebox,0,2018-01-17,2018
319825,2018-01-17 00:00:00-05:00,google.meet:num_meetings_ios,0,2018-01-17,2018
319826,2018-01-17 00:00:00-05:00,google.meet:num_meetings_jamboard,0,2018-01-17,2018
319827,2018-01-17 00:00:00-05:00,google.meet:num_meetings_unknown_client,0,2018-01-17,2018
319828,2018-01-17 00:00:00-05:00,google.meet:num_meetings_web,0,2018-01-17,2018
319829,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_11_to_15_calls,0,2018-01-17,2018
319830,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_16_to_25_calls,0,2018-01-17,2018
319831,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_26_to_50_calls,0,2018-01-17,2018
319832,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_2_calls,0,2018-01-17,2018
319833,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_3_to_5_calls,0,2018-01-17,2018
319834,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_6_to_10_calls,0,2018-01-17,2018
319835,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_external_users,0,2018-01-17,2018
319836,2018-01-17 00:00:00-05:00,google.meet:num_meetings_with_pstn_in_users,0,2018-01-17,2018
319837,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes,0,2018-01-17,2018
319838,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_android,0,2018-01-17,2018
319839,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_by_external_users,0,2018-01-17,2018
319840,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_by_internal_users,0,2018-01-17,2018
319841,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_by_pstn_in_users,0,2018-01-17,2018
319842,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_chromebase,0,2018-01-17,2018
319843,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_chromebox,0,2018-01-17,2018
