,time,metric_name,metric_value
316,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_delivered_emails,204875
317,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_encrypted_emails,74257
318,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_non_spam_emails,155603
319,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_rejected_emails,6
320,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_rerouted_emails,6610
321,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_spam_emails,49373
322,2015-03-25T00:00:00.000-0400,google.gmail:num_inbound_unencrypted_emails,130719
323,2015-03-25T00:00:00.000-0400,google.gmail:num_outbound_delivered_emails,0
324,2015-03-25T00:00:00.000-0400,google.gmail:num_outbound_encrypted_emails,23037
325,2015-03-25T00:00:00.000-0400,google.gmail:num_outbound_rejected_emails,847
326,2015-03-25T00:00:00.000-0400,google.gmail:num_outbound_rerouted_emails,22959
327,2015-03-25T00:00:00.000-0400,google.gmail:num_outbound_unencrypted_emails,229
328,2015-03-25T00:00:00.000-0400,google.gplus:num_1day_active_users,1300
329,2015-03-25T00:00:00.000-0400,google.gplus:num_30day_active_users,6175
330,2015-03-25T00:00:00.000-0400,google.gplus:num_7day_active_users,3488
331,2015-03-25T00:00:00.000-0400,google.gplus:num_video_calls,121
332,2015-03-25T00:00:00.000-0400,google.gplus:num_video_conferences,66
333,2015-03-25T00:00:00.000-0400,google.gplus:total_video_call_minutes,1945
334,2015-03-25T00:00:00.000-0400,google.sites:num_sites,9106
335,2015-03-25T00:00:00.000-0400,google.sites:num_sites_created,1
336,2015-03-26T00:00:00.000-0400,google.accounts:drive_used_quota_in_mb,9712510
337,2015-03-26T00:00:00.000-0400,google.accounts:gmail_used_quota_in_mb,29295719
338,2015-03-26T00:00:00.000-0400,google.accounts:gplus_photos_used_quota_in_mb,661905
339,2015-03-26T00:00:00.000-0400,google.accounts:num_1day_logins,16899
340,2015-03-26T00:00:00.000-0400,google.accounts:num_30day_logins,24121
341,2015-03-26T00:00:00.000-0400,google.accounts:num_7day_logins,21559
342,2015-03-26T00:00:00.000-0400,google.accounts:num_authorized_apps,2408
343,2015-03-26T00:00:00.000-0400,google.accounts:num_delegated_admins,25
344,2015-03-26T00:00:00.000-0400,google.accounts:num_disabled_accounts,34110
345,2015-03-26T00:00:00.000-0400,google.accounts:num_locked_users,0
346,2015-03-26T00:00:00.000-0400,google.accounts:num_super_admins,11
347,2015-03-26T00:00:00.000-0400,google.accounts:num_suspended_users,34110
348,2015-03-26T00:00:00.000-0400,google.accounts:num_users,64155
349,2015-03-26T00:00:00.000-0400,google.accounts:num_users_2sv_enforced,0
