time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2016-02-25,29221782.613329716,53100301.39612942,949064.8537418132
2016-02-26,29327779.760055274,53101094.22076952,949728.6609470827
2016-02-27,29411987.446453582,53100898.08786302,950825.933049679
2016-02-28,29490710.18601949,53114309.06510165,952263.2722250037
2016-02-29,29585027.551781695,53140563.70059144,953657.1561747019
2016-03-01,29685597.54977827,53173829.40239087,955146.3173074555
2016-03-02,29789902.56312728,53203829.15943278,956889.6304728374
2016-03-03,29893361.879525915,53218339.448418655,958522.1276513899
2016-03-04,30027381.61235582,53224974.06471221,959223.4826342594
2016-03-05,30139205.608086016,53232240.658166,960310.1235277927
2016-03-06,30245553.467995018,53254784.61294727,961684.1748953437
2016-03-07,30368125.359374728,53291804.60286398,962957.0317613719
2016-03-08,30497436.907907315,53337367.95978466,964267.7000861003
2016-03-09,30631001.63169315,53381035.818891756,965776.809430316
2016-03-10,30764206.757838003,53410369.478163645,967119.1418381678
2016-03-11,30898326.13875414,53427399.17989642,967686.5540049158
2016-03-12,31010288.856454637,53445811.17246542,968595.521796968
2016-03-13,31117414.7105952,53480025.206370026,969753.8814444452
2016-03-14,31242135.211201712,53528939.02920333,970778.023598721
2016-03-15,31374761.96988284,53586286.23554941,971816.264737529
2016-03-16,31512798.325969506,53641271.40751676,973039.4401313141
2016-03-17,31651542.05747561,53681093.22712412,974089.7464926841
2016-03-18,31792328.13233617,53707477.578127146,974365.2360532822
2016-03-19,31911420.019008834,53733863.21432579,974999.56478211
2016-03-20,32026615.176644176,53774450.069494136,975909.9067920436
2016-03-21,32160932.75589092,53827896.06846539,976719.7263832368
2016-03-22,32304319.152085755,53887716.98154363,977587.1128196593
2016-03-23,32454093.23996702,53942929.60391319,978691.926435791
2016-03-24,32605281.010910038,53980588.22107061,979680.969160289
2016-03-25,32759093.645578783,54002377.2641078,979954.1056715075
2016-03-26,32890947.293302294,54021789.565792926,980656.310264859
2016-03-27,33018944.412407804,54053138.364386976,981706.8868837731
2016-03-28,33166533.916739367,54095198.39193868,982727.9857180909
2016-03-29,33323159.3231144,54141638.984415546,983878.097886789
2016-03-30,33485842.534128025,54181666.071304955,985335.9762118135
2016-03-31,33649254.67487168,54202562.53017988,986742.3745135907
2016-04-01,33814432.94014156,54206330.948836274,987488.049994256
2016-04-02,33955931.347010635,54206855.29325541,988718.3697002586
2016-04-03,34092179.38196219,54218867.94730032,990344.0973035155
2016-04-04,34247114.93609644,54241527.17213813,991975.9089548704
2016-04-05,34409774.245948516,54268876.532246836,993763.2897293728
2016-04-08,34909709.75384001,54281694.52528276,999332.1928942492
2016-04-09,35050124.36348133,54267947.022791415,1001193.8257793654
