time,google.accounts:num_users,google.accounts:num_disabled_accounts,google.accounts:num_suspended_users
2016-06-05,80610.91785533766,47883.47217644563,47866.0152645894
2016-06-06,80659.17262903864,47896.91609000388,47878.45329522153
2016-06-07,80710.65909627595,47924.16183876942,47904.82391910295
2016-06-08,80750.35161627461,47940.841964567815,47920.793249416005
2016-06-09,80787.20586790396,48015.867496358784,47994.729789109835
2016-06-10,80821.22679888566,48024.21474128912,48002.54832997538
2016-06-11,80839.33069526157,48040.35754485602,48017.87349798826
2016-06-12,80858.55646795112,48060.60174097862,48036.78519496886
2016-06-13,80899.33587553917,48085.215314757996,48060.27976537247
2016-06-14,80943.06624002053,48124.29711630777,48098.33451284676
2016-06-15,80974.86558401868,48153.007965485485,48126.14850390376
2016-06-16,81003.89113440992,48240.372623509844,48212.18572353784
2016-06-17,81030.32144865477,48260.2404874964,48231.26747389808
2016-06-18,81041.20348134279,48287.23545410951,48257.14858231805
2016-06-19,81053.76499643887,48317.325708235956,48285.57285764989
2016-06-20,81088.61538075897,48350.48541386211,48317.250037160375
2016-06-21,81127.2113992873,48396.607766605775,48361.95222515451
2016-06-22,81154.71425458488,48430.458731794795,48394.493005542405
2016-06-23,81176.38003931014,48516.6669503592,48482.82039819521
2016-06-24,81196.38809296525,48532.76938920806,48501.58277270299
2016-06-25,81201.75177769795,48553.759115034234,48524.88871291959
2016-06-26,81209.70797952969,48575.530682156736,48548.41239592988
2016-06-27,81240.85325523104,48598.06743307637,48572.88190096486
2016-06-28,81276.5200042485,48631.38861657553,48608.20183278129
2016-06-29,81301.73597735114,48650.24532421033,48629.16890644218
2016-06-30,81325.63483721277,48724.48097242899,48705.07850278256
2016-07-01,81348.28883980554,48726.53560293416,48709.33718824653
2016-07-02,81356.54431506929,48732.13201944843,48716.80664762938
2016-07-03,81367.53061090465,48737.500928522226,48723.49626163514
2016-07-04,81401.74474106888,48743.03131126878,48730.5455136169
2016-07-05,81440.3431626628,48759.244036935714,48748.364288671466
2016-07-07,81494.34175867561,48819.71150646075,48811.89092344245
2016-07-08,81518.7592634395,48806.93999374076,48800.973162507
2016-07-09,81528.19249493917,48799.57410247396,48795.14584823797
2016-07-10,81539.75509239834,48794.330768158376,48790.90119273663
2016-07-11,81573.95986334735,48792.08868260931,48789.87209449691
2016-07-12,81611.92231790318,48803.883721774175,48802.98550915235
2016-07-13,81638.50417896683,48805.07761450062,48805.6314901401
2016-07-14,81662.81233119899,48867.15975543294,48868.7929584764
2016-07-15,81684.89489487665,48861.955014830804,48865.18361861082
2016-07-16,81691.5600235554,48866.77788534164,48871.29874986034
2016-07-17,81700.06568771541,48878.47093083462,48883.75402732709
2016-07-18,81731.089908123,48897.974166415755,48904.249130111624
2016-07-19,81765.84124889535,48936.34847424637,48943.740294858224
2016-07-20,81789.28779048558,48968.686695731696,48977.342091556566
2016-07-21,81810.69411704637,49066.64435203752,49076.22696806465
2016-07-22,81830.24349865479,49101.009546552814,49112.03610502666
2016-07-23,81834.8434958325,49149.10341064688,49161.295814633144
2016-07-24,81841.90219346386,49207.239267518584,49220.09341281978
2016-07-25,81872.23825858986,49275.76710802046,49289.54687736267
2016-07-26,81907.09891324428,49365.13874963368,49380.01022171776
2016-07-27,81931.47579893965,49449.57525208478,49465.72179558485
2016-07-28,81954.68229614773,49600.34028898003,49617.4872483178
2016-07-29,81976.90490529545,49686.685420261856,49705.37651534801
2016-07-30,81984.99945333623,49785.509337182775,49805.51825703187
2016-07-31,81996.3581652649,49892.249159201005,49913.12415257372
2016-08-01,82031.76439575682,50006.4100496729,50028.47462618225
2016-08-02,82072.32324972223,50137.6805169731,50161.16543715683
2016-08-03,82102.86967199104,50259.36266422812,50284.50903611886
2016-08-04,82132.59144087801,50442.39262586074,50469.00540422741
2016-08-05,82161.51494067197,50554.663359203274,50583.32738521966
2016-08-06,82176.29686083132,50672.94245176104,50703.4930123843
2016-08-07,82194.18654973352,50792.19285749845,50824.23563306647
2016-08-08,82235.82928841122,50911.58248562725,50945.50065311054
2016-08-09,82282.1127373877,51040.64204409386,51076.72587133524
2016-08-10,82317.66964758317,51152.44818820273,51190.9860910937
2016-08-11,82351.54807172452,51318.37890596777,51359.2398568289
2016-08-12,82383.6321752309,51405.799741651506,51449.58918053255
2016-08-13,82400.42915985949,51492.22436864368,51538.81409024865
2016-08-14,82418.98789942563,51543.32059951811,51585.79187970281
2016-08-15,82460.06212983785,51588.5221077528,51627.275640013395
2016-08-16,82504.45648537678,51638.10244264792,51673.44072073271
2016-08-17,82536.75813581847,51665.84637657159,51698.06674891349
2016-08-18,82566.04980571913,51744.236793254575,51773.1958958235
2016-08-19,82592.26105238535,51741.250030196876,51767.575208989554
2016-08-20,82601.94547381318,51735.65571592402,51759.220380444036
2016-08-21,82612.4255191241,51723.89021033685,51744.328971172996
2016-08-22,82644.483566007,51706.76310728218,51724.48466210512
2016-08-23,82679.02975039987,51695.60255679686,51710.90676205191
2016-08-24,82700.78127579347,51665.16453356309,51678.35611242974
2016-08-25,82719.01358112277,51688.98393071157,51699.881254409614
2016-08-26,82733.8382415267,51635.73502987711,51644.99752121855
2016-08-27,82731.9669105678,51585.08128060301,51592.56538244985
2016-08-28,82730.94169613412,51534.13095443308,51539.45215416547
2016-08-29,82751.76576742472,51484.24799317274,51487.792323798916
2016-08-30,82775.47831853337,51447.19400838678,51449.228772998315
2016-08-31,82786.91918349934,51397.9643565773,51398.77269062773
2016-09-01,82795.51881535721,51410.31858913741,51409.65274326612
