,time,num_meetings,num_calls,average_meeting_minutes,num_30day_active_users,total_meeting_minutes,total_call_minutes
802,2020-05-03,4.121031503300698,10.757862758696708,-37.36564655052403,865.2125867978355,121.15565813512298,962.7728523476854
803,2020-05-04,15.973016546295122,41.96319884716569,-32.32565834652462,871.7663222288209,334.82894092263757,2645.1358560516437
804,2020-05-05,17.92970384737075,43.353197049364525,-28.494176396626102,828.1198115933112,388.24737549573683,2837.823194657224
805,2020-05-06,17.624971980756875,42.051418595191365,-29.434848132194148,812.9048531761804,393.3882259302967,2694.7166216017445
806,2020-05-07,17.114801308471147,40.74674001807579,-28.51127913858913,825.1807516474639,350.58078496271867,2291.0011810769624
807,2020-05-08,12.49101325555809,28.834192944051164,-28.885660243447703,840.6435974965756,257.2362002345339,1952.8935657785944
808,2020-05-09,-0.20830862899952252,-4.569767595936994,-30.409802992165247,808.9500467346805,-34.94796416082382,22.005318429964113
809,2020-05-10,3.06502389218646,5.793488598710365,-33.894573943275205,794.8169083359428,75.86763477360388,710.0263995761086
810,2020-05-11,14.900471690039964,36.77206400835739,-28.791254147583235,809.4541153692328,292.047616227842,2367.6302154263562
811,2020-05-12,16.83631866181339,38.173813737178754,-25.088578268074233,773.7554224694173,349.79896712938387,2533.466263465586
812,2020-05-13,16.52050017080749,36.984162324855504,-26.49566024923109,766.8130314341671,360.19593192236096,2366.881355896222
813,2020-05-14,16.015445428297472,35.88791406674023,-26.098491062281326,787.525433414245,323.5321288933873,1944.4211576826747
814,2020-05-15,11.411196068953696,24.347765828508287,-27.181153228783902,811.2503000668248,237.18987014283272,1594.4126034824194
815,2020-05-16,-1.2565769509478895,-8.453487690137408,-29.577025495855313,787.111679937755,-46.016959748994644,-346.89517384831106
816,2020-05-17,2.0937278517446694,2.3784258590083818,-34.11332307837264,780.1979823850645,70.8735559753053,348.12141724360924
817,2020-05-18,14.043254239148125,33.81946272112785,-29.80087514942284,801.6869579571132,292.4964778411947,2024.3481721877583
818,2020-05-19,16.10679222961114,35.954314648906,-27.007882180369933,771.7563438646332,357.05760891366737,2211.448785740825
819,2020-05-20,15.941962172670388,35.6082575019536,-29.563860657256512,770.0253622820861,374.629437077205,2072.804287453879
820,2020-05-21,15.612761831103587,35.439052004725944,-30.25376640842973,795.3168673423557,345.38063605306394,1684.7942887506033
821,2020-05-22,11.202201306368627,24.953801899561586,-32.4625515679583,822.7518265322651,266.5879759391446,1376.278606116298
822,2020-05-23,-1.2619367440716054,-6.6212194127197685,-35.9872510042681,801.037507127135,-7.879692723186324,-523.4378783607805
823,2020-05-24,2.329816623779819,5.222115946748725,-41.657275813558016,795.7610826078743,114.01850875859509,227.66165232003613
824,2020-05-25,14.544828299652877,37.56755585299616,-38.03316936061389,818.2035682060823,339.16412875803513,1967.2207139207596
825,2020-05-26,16.869174763806676,40.75889578110688,-35.85753706682741,787.9671552841327,407.75886790975613,2214.5896862267955
826,2020-05-27,16.965329702535705,41.44640124392391,-39.08034115656763,785.3401992258382,428.892363212989,2136.020828691513
827,2020-05-28,16.894553533281655,42.249262864992794,-40.19084356548267,809.210248915931,402.6492446725698,1806.7615107751546
828,2020-05-29,12.729168567250095,32.71117230959871,-42.685552304493086,834.5967433046366,326.2631760515621,1555.4613383925494
829,2020-05-30,0.4861692644396882,2.0980406209198232,-46.34108359880686,809.9169458611289,54.74085831653036,-296.01943503873696
830,2020-05-31,4.300835200430143,14.532148452084046,-52.00994798638697,801.3721473811597,175.30377781895294,508.4840098170285
831,2020-06-01,16.725607038154465,47.20951664836163,-47.82787258620518,820.4478242531483,397.1981306214607,2299.3878167184853
832,2020-06-02,19.217646249972702,50.74163955962472,-44.94134681145328,786.2552934622483,462.75344077205597,2586.00153542457
833,2020-06-03,19.44504163767938,51.6162967280274,-47.4535783408316,779.8182472744462,480.2190106363791,2537.96878880461
834,2020-06-04,19.46803124258562,52.430268368458385,-47.593450632226,800.1351983662372,449.7450164968844,2230.1555508326715
835,2020-06-05,15.350882562420644,42.78323387653319,-49.005957472943436,822.1494388833422,368.67491848068113,1991.959402390208
836,2020-06-06,3.1032934994515275,12.002896210228712,-51.484866627476485,793.9923092393699,93.30558223141003,138.932431361488
837,2020-06-07,6.8906226536179975,23.85003477768357,-55.94297731754702,782.4621333690774,206.18689503688458,942.6683597584471
838,2020-06-08,19.25532731975813,55.65885669165739,-50.126968450503185,799.2112817779977,419.06911919014186,2727.7437163562663
839,2020-06-09,21.631151334361757,58.335366907070856,-45.62053016246634,762.8033570710398,476.5369791901922,2994.8816501326187
840,2020-06-10,21.697716049049987,58.23187413306097,-46.70999071769972,754.9229809859347,486.11140184158535,2918.5966605808967
841,2020-06-11,21.520429207082426,57.949264579620554,-45.38936730897865,774.5898109946612,448.10165995820637,2574.836158540036
842,2020-06-12,17.161817629526613,47.16853296084938,-45.47246432664754,796.5683104894977,360.03363081305804,2295.1511281787443
