day,emails_received
2017/06/14,243083.0
2017/06/15,257626.0
2017/06/16,204337.0
2017/06/17,110122.0
2017/06/18,113515.0
2017/06/19,233035.0
2017/06/20,240103.0
2017/06/21,257369.0
2017/06/22,233451.0
2017/06/23,0.0
2017/06/24,0.0
2017/06/25,0.0
2017/06/26,210310.0
2017/06/27,226094.0
2017/06/28,227855.0
2017/06/29,255026.0
2017/06/30,207815.0
2017/07/01,110420.0
2017/07/02,103562.0
2017/07/03,197602.0
2017/07/04,136797.0
2017/07/05,246238.0
2017/07/06,247565.0
2017/07/07,214400.0
2017/07/08,102885.0
2017/07/09,118234.0
2017/07/10,246688.0
2017/07/11,241753.0
2017/07/12,272670.0
2017/07/13,251963.0
2017/07/14,220893.0
2017/07/15,116600.0
2017/07/16,115485.0
2017/07/17,240651.0
2017/07/18,240580.0
2017/07/19,240714.0
2017/07/20,239498.0
2017/07/21,208913.0
2017/07/22,117316.0
2017/07/23,128578.0
2017/07/24,247002.0
2017/07/25,284277.0
2017/07/26,253447.0
2017/07/27,245469.0
2017/07/28,222300.0
2017/07/29,112689.0
2017/07/30,124280.0
2017/07/31,271411.0
2017/08/01,270015.0
2017/08/02,267163.0
2017/08/03,237556.0
2017/08/04,239243.0
2017/08/05,108818.0
2017/08/06,129874.0
2017/08/07,287361.0
2017/08/08,268820.0
2017/08/09,300043.0
2017/08/10,287488.0
2017/08/11,248450.0
2017/08/12,142591.0
2017/08/13,189855.0
2017/08/14,381688.0
2017/08/15,421584.0
2017/08/17,447369.0
2017/08/18,357882.0
2017/08/19,156199.0
2017/08/20,189377.0
2017/08/21,402996.0
2017/08/22,478731.0
2017/08/23,395359.0
2017/08/24,421219.0
2017/08/25,341977.0
2017/08/26,159966.0
2017/08/27,160196.0
2017/08/28,434559.0
2017/08/29,383623.0
2017/08/30,382842.0
2017/08/31,419665.0
2017/09/01,349382.0
2017/09/02,157251.0
2017/09/03,213569.0
2017/09/04,186331.0
2017/09/05,425152.0
2017/09/06,456427.0
2017/09/07,436789.0
2017/09/08,312181.0
2017/09/09,139937.0
2017/09/10,158671.0
2017/09/11,396608.0
2017/09/12,430092.0
2017/09/13,384972.0
2017/09/14,381723.0
2017/09/15,339782.0
2017/09/16,144059.0
2017/09/17,184244.0
2017/09/18,431359.0
2017/09/19,427535.0
2017/09/20,473668.0
2017/09/21,396319.0
2017/09/22,343732.0
2017/09/23,141762.0
2017/09/24,165555.0
2017/09/25,424335.0
2017/09/26,483470.0
2017/09/27,380392.0
2017/09/28,403608.0
2017/09/29,344574.0
2017/09/30,157264.0
2017/10/01,178641.0
2017/10/02,422693.0
2017/10/03,494599.0
2017/10/04,0.0
2017/10/05,0.0
2017/10/06,306598.0
2017/10/07,149670.0
2017/10/08,135722.0
2017/10/09,372352.0
2017/10/10,371129.0
2017/10/11,417548.0
2017/10/12,402657.0
2017/10/13,366383.0
2017/10/14,146036.0
2017/10/15,177858.0
2017/10/16,467193.0
2017/10/17,421771.0
2017/10/18,408012.0
2017/10/19,384177.0
2017/10/20,311502.0
2017/10/21,144565.0
2017/10/22,180429.0
2017/10/23,418336.0
2017/10/24,450546.0
2017/10/25,443243.0
2017/10/26,427140.0
2017/10/27,348522.0
2017/10/28,147363.0
2017/10/29,259986.0
2017/10/30,463833.0
2017/10/31,407487.0
2017/11/01,415873.0
2017/11/02,409707.0
2017/11/03,327000.0
2017/11/04,154021.0
2017/11/05,178318.0
2017/11/06,449780.0
2017/11/07,473903.0
2017/11/08,429597.0
2017/11/09,409651.0
2017/11/10,330669.0
2017/11/11,174949.0
2017/11/12,193465.0
2017/11/13,465938.0
2017/11/14,508142.0
2017/11/15,400487.0
2017/11/16,424848.0
2017/11/17,360549.0
2017/11/18,163080.0
2017/11/19,180481.0
2017/11/20,448355.0
2017/11/21,421860.0
2017/11/22,280232.0
2017/11/23,189766.0
2017/11/24,240183.0
2017/11/25,180785.0
2017/11/26,241531.0
2017/11/27,635265.0
2017/11/28,525667.0
2017/11/29,407170.0
2017/11/30,413757.0
2017/12/01,335469.0
2017/12/02,167702.0
2017/12/03,171221.0
2017/12/04,404645.0
2017/12/05,400706.0
2017/12/06,398393.0
2017/12/07,424457.0
2017/12/08,272840.0
2017/12/09,160743.0
2017/12/10,165308.0
2017/12/11,344461.0
2017/12/12,284486.0
2017/12/13,271015.0
2017/12/14,365288.0
2017/12/15,281095.0
2017/12/16,132389.0
2017/12/17,121949.0
2017/12/18,270724.0
2017/12/19,270246.0
2017/12/20,266441.0
2017/12/21,229896.0
2017/12/22,190273.0
2017/12/23,105584.0
2017/12/24,98003.0
2017/12/25,91590.0
2017/12/26,149717.0
2017/12/27,152557.0
2017/12/28,155620.0
2017/12/29,149623.0
2017/12/30,119185.0
2017/12/31,120112.0
2018/01/01,160644.0
2018/01/02,239054.0
2018/01/03,275255.0
2018/01/04,296417.0
2018/01/05,308439.0
2018/01/06,136795.0
2018/01/07,164864.0
2018/01/08,492535.0
2018/01/09,442303.0
2018/01/10,413690.0
2018/01/11,370310.0
2018/01/12,396519.0
2018/01/13,155314.0
2018/01/14,155651.0
2018/01/15,226268.0
2018/01/16,486650.0
2018/01/17,420629.0
2018/01/18,385911.0
2018/01/19,340275.0
2018/01/20,144640.0
2018/01/21,207902.0
2018/01/22,273514.0
2018/01/23,273514.0
2018/01/24,0.0
2018/01/25,393812.0
2018/01/26,347559.0
2018/01/27,163507.0
